               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034175,            0.033856,           0.0033105,             0.88659,             0.71223,             0.71972,             0.32321,            0.034219,            0.033619,          0.00028639,            0.006535,            0.006535,            0.006535
                  37,            0.033998,            0.032926,           0.0035746,             0.85844,             0.72727,             0.70785,             0.32462,            0.034726,              0.0312,          0.00033531,            0.006436,            0.006436,            0.006436
                  38,             0.03404,            0.033736,           0.0033523,             0.74695,             0.80597,             0.76502,             0.31218,            0.035506,            0.033451,          0.00028489,            0.006337,            0.006337,            0.006337
                  39,            0.033588,            0.033161,           0.0031927,             0.74008,             0.81818,             0.74769,             0.32161,            0.035279,            0.033443,          0.00032873,            0.006238,            0.006238,            0.006238
                  40,            0.033761,            0.033766,           0.0033932,             0.74849,             0.81215,             0.73823,              0.3092,            0.034494,            0.032893,           0.0002336,            0.006139,            0.006139,            0.006139
                  41,            0.033316,            0.033073,           0.0031084,             0.84849,             0.72727,             0.74441,             0.34801,            0.033473,             0.03109,          0.00020542,             0.00604,             0.00604,             0.00604
                  42,            0.033398,            0.033292,           0.0031611,             0.85745,             0.72727,             0.70806,             0.32075,            0.034243,            0.030913,          0.00021243,            0.005941,            0.005941,            0.005941
                  43,            0.032923,            0.033211,           0.0031094,              0.8663,             0.72727,             0.81213,             0.33444,              0.0346,            0.031743,          0.00016265,            0.005842,            0.005842,            0.005842
                  44,            0.032999,            0.032192,           0.0030023,             0.84755,             0.72727,             0.78234,             0.33286,            0.033886,            0.030527,          0.00017424,            0.005743,            0.005743,            0.005743
                  45,            0.033011,            0.032992,           0.0031061,             0.84466,             0.63636,             0.68709,             0.30382,             0.03511,            0.034687,          0.00019784,            0.005644,            0.005644,            0.005644
                  46,            0.032837,            0.032628,           0.0031163,             0.85478,             0.63636,             0.70626,             0.32043,            0.034406,            0.032569,          0.00032809,            0.005545,            0.005545,            0.005545
                  47,            0.032909,            0.032669,           0.0027953,             0.96621,             0.81818,             0.82382,             0.34966,            0.033959,            0.029612,          0.00014613,            0.005446,            0.005446,            0.005446
                  48,            0.032711,            0.033015,           0.0030684,             0.88104,             0.81818,             0.81645,             0.32181,            0.034679,            0.031182,          0.00018468,            0.005347,            0.005347,            0.005347
                  49,            0.032696,             0.03261,           0.0029295,                   1,             0.80764,             0.82545,             0.33447,            0.035003,             0.03203,          0.00019391,            0.005248,            0.005248,            0.005248
                  50,            0.032558,            0.032339,           0.0028818,             0.73611,             0.81818,             0.77321,             0.34882,            0.033905,            0.031305,          0.00019584,            0.005149,            0.005149,            0.005149
                  51,            0.032671,              0.0331,           0.0028234,             0.85138,             0.63636,             0.66983,             0.31403,            0.034826,            0.035019,          0.00016716,             0.00505,             0.00505,             0.00505
                  52,            0.032581,            0.032476,           0.0030344,             0.71831,             0.72727,             0.69933,             0.30701,            0.035544,            0.032134,          0.00021243,            0.004951,            0.004951,            0.004951
                  53,            0.032196,            0.032358,           0.0026532,             0.81711,             0.81284,             0.81196,             0.31639,            0.034599,            0.032434,          0.00017846,            0.004852,            0.004852,            0.004852
                  54,            0.031996,            0.032667,           0.0026781,             0.87359,              0.6292,             0.70641,             0.33222,            0.035503,             0.03282,          0.00015163,            0.004753,            0.004753,            0.004753
                  55,            0.031958,            0.031892,           0.0027567,             0.84368,             0.63636,             0.68518,              0.3227,            0.034762,            0.032444,          0.00016944,            0.004654,            0.004654,            0.004654
                  56,            0.031895,            0.031449,           0.0028057,             0.87401,             0.63133,             0.68518,             0.32017,            0.034633,            0.031932,          0.00019262,            0.004555,            0.004555,            0.004555
                  57,            0.031939,            0.032286,           0.0026457,             0.88672,             0.71306,             0.70155,             0.32231,            0.035099,            0.032558,          0.00019104,            0.004456,            0.004456,            0.004456
                  58,            0.031519,            0.031375,           0.0025593,             0.70446,             0.72727,             0.72704,             0.33557,            0.034123,            0.032323,          0.00014741,            0.004357,            0.004357,            0.004357
                  59,            0.031737,            0.031374,            0.002509,             0.77245,             0.72727,             0.70412,             0.32283,            0.034897,            0.032688,          0.00021858,            0.004258,            0.004258,            0.004258
                  60,            0.031736,            0.030995,           0.0025236,             0.87373,             0.72727,              0.7094,             0.33116,            0.034382,            0.031143,          0.00014223,            0.004159,            0.004159,            0.004159
                  61,            0.031703,             0.03208,           0.0027238,             0.87446,             0.63363,             0.69424,              0.2762,            0.036155,            0.034929,          0.00018668,             0.00406,             0.00406,             0.00406
                  62,            0.031574,            0.031745,           0.0027759,              0.9856,             0.72727,             0.81108,             0.33722,            0.035221,            0.032737,          0.00017867,            0.003961,            0.003961,            0.003961
                  63,            0.031543,            0.031086,           0.0024715,             0.87102,              0.6161,             0.72942,             0.31245,            0.034979,            0.031409,          0.00011569,            0.003862,            0.003862,            0.003862
                  64,            0.031184,            0.031513,           0.0025027,              0.8629,             0.72727,             0.73792,             0.33895,            0.035054,            0.031012,          0.00014699,            0.003763,            0.003763,            0.003763
                  65,            0.031323,            0.031482,           0.0023969,             0.83203,             0.63636,             0.72276,             0.32419,              0.0347,            0.031902,           0.0001247,            0.003664,            0.003664,            0.003664
                  66,            0.030944,            0.031141,           0.0022144,             0.95146,             0.81818,             0.83227,             0.33475,             0.03484,            0.031637,          0.00013758,            0.003565,            0.003565,            0.003565
                  67,            0.031048,            0.031576,           0.0022991,             0.85523,             0.72727,             0.70412,             0.31452,            0.035421,            0.031934,          0.00012213,            0.003466,            0.003466,            0.003466
                  68,            0.030665,            0.031065,           0.0022303,             0.95693,             0.81818,             0.83067,             0.33806,            0.034093,            0.031282,          0.00012002,            0.003367,            0.003367,            0.003367
                  69,            0.030847,            0.030457,           0.0023099,              0.8872,             0.71623,             0.74593,             0.33261,            0.034577,            0.030691,          8.2362e-05,            0.003268,            0.003268,            0.003268
